用户id,颜色,内存,评论
12332380043,白色,128GB,买之前很担心 担心黑边 担心太厚 但是用起来 并不觉得黑边是问题 不影响视觉效果 建议购买 这款性价比很高 有700优惠券 很合适 白色 128G 很好看  物流是一如既往的快 听说电池续航能力很强
12417763740,黑色,128GB,京东自营手机很给力，没有查询序列号，不用质疑。手机运行流畅，内存足够大。电池耐用，屏幕细嫩，相机拍照清晰。屏幕有黑边，黑色手机不怎么显眼。不去xs看起高档，双卡双待，信号不是很好。同样的位置8p信号比这个要好很多。经常还出现呼叫失败。
12097683154,珊瑚色,128GB,速度很快、开锁也是、就是晚上没有灯光一样人脸解锁手机、拍照出来的效果和xs没区别，拍照很棒。对屏幕要求不是太高的我，感觉屏幕分辨率和ppi都够用了，手感还可以很容易上手的一款手机。送货和包装都很满意、快递员很负责任，下雨也等着我。不满的地方：手机太厚了，比我的小6厚很多，黑边有点宽，这些都能接受，整体是挺不错的，手机性能还是不错的，测试了很多游戏，运行很是流畅（如王者、吃鸡、狂8，蜘蛛侠2，混沌）都无压力
12437437618,白色,64GB,分辨率没有传说的那么恐怖  反正我的眼看不出来区别  电池超级耐用  相机很好  拍视频也很棒   今日头条  农夫虫虫  哪里面的视频都是我用苹果手机拍的 支持京东  音质很棒
12161766291,珊瑚色,128GB,看重续航和性能的小伙伴们可以入手了哦，720P的屏幕，续航有保证，喜忧参半啊，不过没有大果粒现象，屏幕素质一如既往地很苹果，完美；平铺设计的主板和8P一样，散热提升很大，性能巨增，是安卓无所比拟的。另外半框这个还得看个人，我感觉还能接受。从未见过的珊瑚色非常的骚，手机很重，很重，很重。拍照相比XS少了一颗摄像头，不过成像素质都很好，后背看着和谐了不少，最爱的3Dtouch没了 很可惜，总感觉阉割的太多了。7000块的廉价版啊
12468386797,红色,128GB,显示效果: 非常棒 很清晰 运行速度: 很流畅 优秀！ 拍照效果: 特别棒 高清 前后摄像头都很棒 电池续航: 电池续航很好 一天充一次就ok搭 总结: 特别棒的一次体验 很值 以后还会购买
12427068211,白色,64GB,降价之后的最香苹果机，没有之一，黑边日常使用根本不会在乎，面容解锁贼快，再也不怕手指头湿了无法指纹解锁了，A12加持流畅度不弱于xs、max，整体性价比极高，续航更是最强的，用了几天超级喜欢，64G不拍照不存东西的我妥妥够用啦！
12282003324,白色,64GB,哎呦不错哦哦，用了一天了，电量比我的苹果6好多了。最重要的是系统的流畅度。非常的好用。手机拍照背景虚化非常的给力。尤其是人像模式。打王者荣耀一个小时耗电14%。而且手机一点都不热。骁龙845的处理器确实很厉害。手机的尺寸拿在手里应该是刚刚好。根据自身手的大小来定吧。手机屏幕的色彩也非常棒。屏幕的色域可以调可以调成暖色，冷色，还有默认。手机的声音外放很好。手机性价比真的很高。小爱同学在开车的时候应该会很好用。很智能。手机的指纹解锁还有人脸解锁都非常的快。总而言之，感觉小米手机还是挺不错的。手机内存开机有56个，长期使用的话应该差不多。全面屏的手势操作也非常的好，特别的跟手。我比较追求软件的开启速度以及软件之间的切换。达到了我的预期要求很好。。追评内容就写这么多希望对大家有用。有什么问题都可以问我的。
12436259035,红色,128GB,哈哈哈，过年用新手机！红色是最爱，xr一直关注了很长时间，同事之前也用了黑色，感觉黑边完全可以忽略。对lcd的屏幕也觉得很满意！同事都说红色很好看！主要是iphone的功能太强大，用了iclond，全部无缝对接！这是安卓系统没有的！
12441813401,黑色,128GB,"流畅至极，方便好用，颜色绚丽，续航出色，反应超快，时尚美观，持久耐用，清晰度高，性能一流，大小适宜，品质优良，做工精湛，速度很快、开锁也是、就是晚上没有灯光一样人脸解锁手机、拍照出来的效果和xs没区别,拍照很棒。对屏幕要求不是太高的我,感觉屏幕分辨率和ppi都够用了,手感还可以很容易上手的一款手机。送货和包装都很满意、快递员很负责任。手机很流畅,续航很好很好,面部识别特别灵敏,而且全黑环境下也能轻松快速地识别解锁,面部识别准确率超高,然后信号的话,WIFI很快,满意。"
12421983521,黑色,128GB,"16G的6Plus实在用不下去了，分分钟爆内存，看准了iPhone XR的性价比，没有用3Dtouch的习惯，人像模式拍物品不虚化的问题 可以用focos解决，2倍屏也已经很细腻，64g和128也只差4 0 0。
到手的时候很惊喜好吗！丝滑到无法扶吸！
深度摄像头真的很爽
看剧的时候，听筒也是一个扬声器，立体声音效很爽，还在探索中。"
12184135621,红色,128GB,用了那么多天现在才来评论。对于分辨率我是觉得很清晰，之前我也认为这样低的分辨率加上6.1寸屏显示效果应该很**33，有一次去实体店玩看到这手机出乎我的意料，没想到可以做到怎么好的显示效果！本来打算现在手上用的SE换个电池再战三年等支持5G的手机，有了动摇。加上双十一优惠活动就毫不犹豫下手哈哈。对了手机续航非常给力，一天里王者两小时，刷头条边听网易云两小时，上班正常的使用微信，下班回到家还有百分之三十的电。系统相对SE感觉更滑一点。还有那个face ID确实很方便，对于夏天手很容易出汗来说真的非常便利，再也不用担心手湿指纹识别不出的尴尬，还有一个好用的功能就是当有推送消息在锁屏如果手机扫描不到主人的脸只显示有提示没有内容，当扫到主人的脸时会显示提示内容，这个很赞。想买的人最好去实体店摸摸后在决定比较好啦
12500542806,黑色,128GB,"iPhone XR 的续航十分让我满意, 绝对是续航最长的iPhone. 前置摄像头的提升大, 后置不明显, 而我其实也不在乎手机的拍照水平怎么样. 流畅度比我之前的iPhone 6 有明显提升. Face ID 非常好用, 比Touch ID 要方便不少, 不过也有解锁失败的时候. 我入手的黑色款, 这款给人以低调、沉稳的感觉."
